Obs,block,ring,CO2,h2o,DOY,year,xylem_ABA,CO2_num,Ci,CO2xyl,pH,logABA_corr,VWCthru75,CO2_VWC75,logxyl
272,1,5,EC,dry,242,2011,0.23666,1,237.382,0.23666,5.74367,3.57752,26.5214,26.5214,-0.62587
277,3,14,EC,con,242,2011,0.23906,1,308.636,0.23906,6,3.36397,28.9072,28.9072,-0.6215
278,3,14,EC,dry,242,2011,0.29822,1,324.892,0.29822,5.567,3.75729,26.0864,26.0864,-0.52546
279,4,15,EC,con,242,2011,0.32145,1,356.18,0.32145,5.81733,.,28.3062,28.3062,-0.49288
280,4,15,EC,dry,242,2011,0.34844,1,324.744,0.34844,5.51933,3.5434,.,.,-0.45787
283,2,3,EC,con,266,2011,.,1,.,.,.,.,31.4894,31.4894,.
284,2,3,EC,dry,266,2011,.,1,.,.,.,.,23.546,23.546,.
287,1,5,EC,con,266,2011,.,1,.,.,.,.,26.9276,26.9276,.
288,1,5,EC,dry,266,2011,.,1,.,.,.,.,26.3404,26.3404,.
293,3,14,EC,con,266,2011,.,1,.,.,.,.,28.7677,28.7677,.
294,3,14,EC,dry,266,2011,.,1,.,.,.,.,25.5564,25.5564,.
295,4,15,EC,con,266,2011,.,1,.,.,.,.,29.1929,29.1929,.
296,4,15,EC,dry,266,2011,.,1,.,.,.,.,.,.,.
